epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,147.116,0.47359,1.06056,1.05307,0.86467,0.5,0.66375,0.36591,1.58525,1.93367,2.52459,0.000354847,0.000354847,0.000354847
138,148.4,0.66102,1.30139,1.16146,0.86467,0.5,0.66375,0.36591,1.58525,1.93367,2.52459,0.000351802,0.000351802,0.000351802
139,149.721,0.42007,0.97863,0.91625,0.86467,0.5,0.66375,0.36591,1.58525,1.93367,2.52459,0.000348757,0.000348757,0.000348757
140,150.713,0.48671,1.00309,1.02129,0.86026,0.5,0.9125,0.61552,1.7065,2.04439,2.57696,0.000345712,0.000345712,0.000345712
141,151.583,0.41789,1.17393,0.95624,0.86026,0.5,0.9125,0.61552,1.7065,2.04439,2.57696,0.000342666,0.000342666,0.000342666
142,152.498,0.5572,1.18532,0.87193,0.86026,0.5,0.9125,0.61552,1.7065,2.04439,2.57696,0.000339621,0.000339621,0.000339621
143,153.401,0.59769,1.21611,1.17388,0.86026,0.5,0.9125,0.61552,1.7065,2.04439,2.57696,0.000336576,0.000336576,0.000336576
144,154.311,0.63033,1.06848,1.10256,0.86327,0.5,0.9125,0.55388,1.81285,2.25564,2.64377,0.000333531,0.000333531,0.000333531
145,155.231,0.45705,1.29685,0.89017,0.86327,0.5,0.9125,0.55388,1.81285,2.25564,2.64377,0.000330485,0.000330485,0.000330485
146,156.106,0.63106,1.06928,1.02561,0.86327,0.5,0.9125,0.55388,1.81285,2.25564,2.64377,0.00032744,0.00032744,0.00032744
147,157.015,0.50695,1.14946,0.93792,0.86327,0.5,0.9125,0.55388,1.81285,2.25564,2.64377,0.000324395,0.000324395,0.000324395
148,157.918,0.44093,1.02234,0.90474,0.86136,0.5,0.9125,0.5451,1.9095,2.16456,2.73567,0.00032135,0.00032135,0.00032135
149,158.81,0.57201,1.15318,1.08803,0.86136,0.5,0.9125,0.5451,1.9095,2.16456,2.73567,0.000318304,0.000318304,0.000318304
150,159.682,0.60834,1.06645,1.00284,0.86136,0.5,0.9125,0.5451,1.9095,2.16456,2.73567,0.000315259,0.000315259,0.000315259
151,160.778,0.63096,1.11396,1.10675,0.86136,0.5,0.9125,0.5451,1.9095,2.16456,2.73567,0.000312214,0.000312214,0.000312214
152,162.082,0.71288,1.37164,1.12278,0.86257,0.5,0.9125,0.5537,1.92352,1.97103,2.7151,0.000309169,0.000309169,0.000309169
153,163.411,0.54461,1.06435,0.98666,0.86257,0.5,0.9125,0.5537,1.92352,1.97103,2.7151,0.000306124,0.000306124,0.000306124
154,164.695,0.50478,1.08249,0.97915,0.86257,0.5,0.9125,0.5537,1.92352,1.97103,2.7151,0.000303078,0.000303078,0.000303078
155,165.958,0.5148,1.15695,1.06517,0.86257,0.5,0.9125,0.5537,1.92352,1.97103,2.7151,0.000300033,0.000300033,0.000300033
156,167.216,0.56496,1.05335,1.01729,0.86789,0.5,0.95375,0.60535,1.95519,1.64704,2.81513,0.000296988,0.000296988,0.000296988
